City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
273,Zhangye,CN,2021-10-25 17:59:55,38.9342,100.4517,45.82,49,100,4.97
274,Mairipora,BR,2021-10-25 17:59:55,-23.3186,-46.5867,75.88,77,90,8.05
275,Ewa Beach,US,2021-10-25 17:59:55,21.3156,-158.0072,79.02,65,4,15.01
276,Wanning,CN,2021-10-25 17:59:56,18.8003,110.3967,70.93,86,89,8.9
277,Port Blair,IN,2021-10-25 17:59:56,11.6667,92.75,80.1,84,34,7.18
278,Leiyang,CN,2021-10-25 17:59:56,26.4024,112.8591,59.79,81,38,1.23
279,Urumqi,CN,2021-10-25 17:59:56,43.801,87.6005,38.35,56,0,4.47
280,Thinadhoo,MV,2021-10-25 17:59:57,0.5333,72.9333,83.86,71,100,15.17
281,Tura,IN,2021-10-25 17:59:57,25.5198,90.2201,66.87,94,0,2.73
282,Gornoye Loo,RU,2021-10-25 17:59:57,43.7129,39.6049,44.38,64,2,6.02
283,Roma,US,2021-10-25 17:57:50,43.2128,-75.4557,71.65,90,90,1.01
284,Inirida,CO,2021-10-25 17:59:58,3.8653,-67.9239,80.8,90,92,3.24
285,Japura,ID,2021-10-25 17:59:58,-0.3167,102.35,75.69,95,100,1.74
286,Provideniya,RU,2021-10-25 17:59:58,64.3833,-173.3,15.6,85,70,7.38
287,Los Llanos De Aridane,ES,2021-10-25 17:59:59,28.6585,-17.9182,69.55,72,75,5.01
288,Honiara,SB,2021-10-25 17:59:59,-9.4333,159.95,77.34,88,68,3.76
289,Raga,SS,2021-10-25 17:59:59,8.4596,25.678,79.75,59,100,3.33
290,Waipawa,NZ,2021-10-25 18:00:00,-41.4122,175.5153,56.44,88,25,5.93
291,Port Elizabeth,ZA,2021-10-25 17:56:26,-33.918,25.5701,64.69,77,0,11.5
292,Nanortalik,GL,2021-10-25 18:00:00,60.1432,-45.2371,32.85,67,21,5.77
